trx_year,trx_month,year_month,trx_volume,mean_price,median_price,min_price,max_price,mean_pps,median_pps,mean_area,median_area
2017,1,2017-01,1176,427378.2117346939,403000.0,205000.0,1108000.0,4520.8786224489795,4293.799999999999,95.71343537414965,95.0
2017,2,2017-02,1080,447295.9509259259,415000.0,210000.0,1180000.0,4583.133425925926,4316.0599999999995,98.46944444444445,96.0
2017,3,2017-03,1889,444852.2466278454,415000.0,200000.0,1116000.0,4620.325055584965,4328.36,97.15685547908946,95.0
2017,4,2017-04,1821,438553.1200658979,406600.0,200000.0,1040000.0,4563.915886875343,4298.51,97.05546403075233,95.0
2017,5,2017-05,1961,443663.25854156044,410000.0,205000.0,1080000.0,4590.676394696584,4269.84,97.41524732279449,96.0
2017,6,2017-06,1733,448371.06578188116,410000.0,200000.0,1080000.0,4612.541644547028,4285.71,98.08730525100981,97.0
2017,7,2017-07,1765,438483.6566572238,405000.0,175000.0,1160000.0,4562.120101983003,4230.77,96.74203966005666,95.0
2017,8,2017-08,1941,444894.77176713035,415000.0,190000.0,1028000.0,4573.396141164349,4278.85,97.99489953632148,98.0
2017,9,2017-09,1665,452661.18678678677,415000.0,190000.0,1055000.0,4609.86930930931,4272.73,98.8236036036036,99.0
2017,10,2017-10,1767,443357.1782682513,410000.0,186000.0,1050000.0,4564.287940011319,4263.74,98.00288624787777,95.0
2017,11,2017-11,1966,442853.28885045776,408444.44,185000.0,1138000.0,4558.481068158698,4251.469999999999,97.75940996948118,96.0
2017,12,2017-12,1573,449806.2250476796,418000.0,197000.0,1053888.0,4548.27833439288,4252.46,99.60216147488876,100.0
2018,1,2018-01,1072,446379.56623134325,415000.0,190000.0,1000000.0,4556.808190298508,4285.71,98.69216417910448,98.0
2018,2,2018-02,1182,443218.12859560066,408000.0,195000.0,1130000.0,4516.944576988156,4245.63,98.62521150592217,99.0
2018,3,2018-03,1880,457089.48829787236,418000.0,185000.0,1150000.0,4611.717132978724,4239.13,99.71239361702128,99.0
2018,4,2018-04,1837,448201.8573761568,410000.0,170000.0,1080000.0,4548.913184540011,4234.23,99.03102885138813,97.0
2018,5,2018-05,1740,448849.0189655172,412000.0,180000.0,1080000.0,4530.501798850574,4230.77,99.75149425287357,100.0
2018,6,2018-06,1975,442732.18329113926,410000.0,175000.0,1120088.0,4535.724972151899,4207.92,98.38075949367088,99.0
2018,7,2018-07,2536,444946.11238170345,415000.0,188000.0,1150000.0,4517.055461356467,4210.235000000001,99.26640378548896,100.0
2018,8,2018-08,2065,441740.740377724,405000.0,168000.0,1160888.0,4513.50802905569,4232.88,98.35641646489104,97.0
2018,9,2018-09,1985,433734.4224836272,400000.0,160000.0,1185000.0,4430.965652392947,4179.1,98.3255919395466,97.0
2018,10,2018-10,1992,430989.1576305221,398500.0,185000.0,1168000.0,4466.56608433735,4146.085,97.04482931726908,95.0
2018,11,2018-11,1865,429968.3372654155,396000.0,168000.0,1050000.0,4456.746900804289,4166.67,97.15656836461126,94.0
2018,12,2018-12,1423,427750.73647224176,395000.0,190000.0,1150000.0,4443.4310751932535,4177.78,96.75776528460997,94.0
2019,1,2019-01,1549,429842.69270497095,395000.0,172000.0,1185000.0,4450.788805681084,4135.34,97.15564880568108,94.0
2019,2,2019-02,1304,428894.0966257669,393000.0,180000.0,1035000.0,4452.895559815951,4175.82,96.73029141104294,94.5
2019,3,2019-03,1650,433570.3436363636,400000.0,165000.0,1145000.0,4511.22843030303,4192.365,96.72624242424241,94.0
2019,4,2019-04,1915,431445.1550913838,400000.0,173268.0,1200000.0,4444.855091383812,4153.85,97.48370757180156,94.0
2019,5,2019-05,2067,433471.58006773103,400000.0,170000.0,1170000.0,4467.6391630382195,4163.93,97.71727140783744,95.0
2019,6,2019-06,1884,431988.53768577497,400000.0,176000.0,1188000.0,4459.64877388535,4130.43,97.35525477707006,94.0
2019,7,2019-07,2111,434261.1013169114,405000.0,160000.0,1205000.0,4460.94428706774,4163.93,97.80198957839886,95.0
2019,8,2019-08,1900,432740.56730526313,405000.0,172000.0,1200000.0,4485.569068421053,4203.115,97.26157894736842,93.0
2019,9,2019-09,1827,432503.28680897644,400000.0,165000.0,1040000.0,4482.363908045977,4152.17,97.05692391899288,94.0
2019,10,2019-10,2204,430055.44237749546,401444.0,150000.0,1100000.0,4487.382731397459,4194.99,96.42422867513612,93.0
2019,11,2019-11,1910,434429.5716649215,405000.0,178000.0,1080000.0,4510.052816753927,4212.1900000000005,96.91057591623037,94.0
2019,12,2019-12,1847,431664.5143475907,405000.0,178000.0,1056800.0,4499.312154845696,4193.55,96.4024363833243,93.0
2020,1,2020-01,1910,430550.22356020944,400000.0,150000.0,1025000.0,4484.332596858639,4201.755,96.72722513089005,93.0
2020,2,2020-02,1661,438946.63335340156,408000.0,140000.0,1100000.0,4554.590192655027,4239.13,96.99638771824202,93.0
2020,3,2020-03,1935,434531.6315245478,412000.0,160000.0,1232000.0,4538.95065633075,4253.73,96.36377260981912,93.0
2020,4,2020-04,423,441247.31177304965,423000.0,190000.0,1010000.88,4482.985933806147,4228.19,98.70212765957447,93.0
2020,5,2020-05,363,445865.5096418733,430000.0,165000.0,1140000.0,4547.186336088154,4242.42,99.0137741046832,97.0
2020,6,2020-06,2438,432101.72800656274,405000.0,180000.0,1186888.0,4510.322067268253,4202.799999999999,96.51476620180476,93.0
2020,7,2020-07,2453,436494.71214023646,413000.0,160000.0,1085000.0,4580.6608153281695,4285.71,96.1362413371382,93.0
2020,8,2020-08,2423,448340.70609987626,425000.0,180000.0,1185000.0,4610.4580396203055,4297.52,98.21712752785803,93.0
2020,9,2020-09,2481,460066.1289802499,430000.0,188000.0,1258000.0,4742.130709391374,4383.56,97.84566706972996,93.0
2020,10,2020-10,2426,477604.1314921682,450000.0,182000.0,1208000.0,4868.083058532564,4516.13,99.10717230008244,94.0
2020,11,2020-11,2320,473483.48620689654,447444.0,180000.0,1248000.0,4862.185607758621,4540.0650000000005,98.21349137931034,94.0
2020,12,2020-12,2480,481823.24798387097,450000.0,195000.0,1218888.0,4897.76875,4573.995,99.12641129032258,94.0
2021,1,2021-01,2490,486897.62565461855,460000.0,180000.0,1210000.0,4960.9955903614455,4623.475,98.94979919678715,95.0
2021,2,2021-02,2160,493357.5721666667,460000.0,180000.0,1210000.0,5041.570037037037,4728.26,98.43162037037037,95.0
2021,3,2021-03,2442,492355.54995904997,465000.0,190000.0,1220000.0,5096.982076167076,4765.530000000001,97.30356265356265,93.0
2021,4,2021-04,2330,501582.3862660944,472000.0,205000.0,1250000.0,5131.742339055794,4803.51,98.44115879828325,94.0
2021,5,2021-05,1954,511798.89611054247,480000.0,190000.0,1210000.0,5281.122753326509,4869.85,97.90138178096213,93.0
2021,6,2021-06,2300,512044.8508695652,482000.0,205000.0,1268000.0,5226.1711869565215,4880.3,98.82782608695652,93.0
2021,7,2021-07,2655,510539.18086252356,480000.0,203000.0,1225000.0,5225.459103578154,4895.83,98.3982297551789,94.0
2021,8,2021-08,2735,517640.352833638,490000.0,205000.0,1280000.0,5299.369762340037,5000.0,98.50179159049361,94.0
2021,9,2021-09,2510,520245.4844621514,492000.0,220000.0,1295000.0,5349.230354581673,5000.0,98.13904382470119,93.0
2021,10,2021-10,2495,522807.06893787574,500000.0,230000.0,1260000.0,5389.575711422845,5032.26,98.01158316633266,94.0
2021,11,2021-11,2566,532254.9146063913,503000.0,235000.0,1268000.0,5441.334423226813,5088.6900000000005,98.68865939204989,93.0
2021,12,2021-12,2420,531502.7066115702,505000.0,220000.0,1360000.0,5504.062611570248,5147.06,97.29855371900827,93.0
2022,1,2022-01,2440,526041.0413893443,500000.0,200000.0,1338888.0,5470.391680327869,5133.9400000000005,96.99016393442623,93.0
2022,2,2022-02,1894,535435.1958817318,508000.0,225000.0,1308000.0,5540.843743400212,5148.155000000001,97.30496304118269,93.0
2022,3,2022-03,2262,536441.1630238727,510000.0,200000.0,1388888.88,5592.196061007958,5223.88,96.86927497789566,93.0
2022,4,2022-04,2261,544984.1555417957,520000.0,230000.0,1228000.0,5618.962998673153,5263.16,97.84785493144626,93.0
2022,5,2022-05,2152,546013.3418959108,520000.0,227000.0,1400000.0,5716.716403345725,5340.375,96.36663568773234,93.0
2022,6,2022-06,2134,557331.0895032802,530000.0,238000.0,1310000.0,5750.0166026241795,5357.92,97.91007497656983,93.0
2022,7,2022-07,2358,558347.5318066158,530000.0,230000.0,1418000.0,5774.1634605597965,5445.905000000001,97.46017811704834,93.0
2022,8,2022-08,2309,550441.0324296233,522000.0,218888.0,1350000.0,5729.378847986141,5368.85,96.89272412299697,93.0
2022,9,2022-09,2576,564846.695652174,538000.0,255000.0,1330000.0,5874.101533385094,5508.67,97.0014751552795,93.0
2022,10,2022-10,1956,568818.3746830267,544000.0,230000.0,1370000.0,5911.752832310838,5555.56,97.06549079754602,93.0
2022,11,2022-11,2128,558114.652725564,538444.0,223000.0,1345000.0,5851.515155075188,5512.23,96.23101503759399,93.0
2022,12,2022-12,2232,549993.5205017921,530000.0,235000.0,1300000.0,5855.618951612903,5588.07,94.7918458781362,93.0
2023,1,2023-01,2551,558955.8120423363,535000.0,230000.0,1340000.0,5951.5471932575465,5591.4,94.91027048216385,93.0
2023,2,2023-02,1837,552036.0577027763,535800.0,238000.0,1340000.0,5887.948116494284,5565.22,94.81284703320632,93.0
2023,3,2023-03,2274,566715.9990677221,543000.0,237000.0,1400000.0,6023.636926121371,5652.17,95.0197889182058,93.0
2023,4,2023-04,2175,574042.5598344828,550000.0,240000.0,1400000.0,6035.644220689655,5707.96,96.08211494252873,93.0
2023,5,2023-05,2245,570255.7888641425,550000.0,217000.0,1370000.0,6040.135131403118,5671.64,95.26783964365255,93.0
2023,6,2023-06,1852,574560.8142548596,550000.0,252000.0,1500000.0,6070.003833693304,5700.395,95.58979481641468,93.0
2023,7,2023-07,2051,577221.8273427597,555000.0,235000.0,1380000.0,6049.606957581667,5706.52,96.4511457825451,93.0
2023,8,2023-08,2466,577713.6223682077,555000.0,150000.0,1480000.0,6152.430936739659,5771.625,94.74233576642337,93.0
2023,9,2023-09,1973,575178.1677648252,550000.0,228000.0,1450000.0,6141.647151545869,5742.86,94.57795235681702,93.0
2023,10,2023-10,2187,575631.9359304984,555000.0,229000.0,1450000.0,6156.394828532236,5806.45,94.31289437585734,93.0
2023,11,2023-11,2128,581315.152669173,560000.0,245000.0,1460000.0,6146.875855263158,5806.45,95.48980263157894,93.0
2023,12,2023-12,2001,578542.6371814093,560000.0,150000.0,1420000.0,6198.351059470265,5815.22,94.26536731634182,93.0
2024,1,2024-01,2620,591372.0053435115,570000.0,250000.0,1568888.0,6233.250606870229,5876.43,95.76870229007633,93.0
2024,2,2024-02,2122,585742.2167200755,568000.0,240000.0,1480000.0,6211.553722902921,5851.0,95.31201696512724,93.0
2024,3,2024-03,2046,596945.8044379277,572000.0,230000.0,1450000.0,6301.582551319649,5913.98,95.69125122189638,93.0
2024,4,2024-04,2369,592494.595187843,570000.0,230000.0,1438000.0,6311.676492190798,5944.44,94.90485436893204,93.0
2024,5,2024-05,2487,599718.665862485,580000.0,242000.0,1515000.0,6362.87908323281,5978.26,95.20160836349015,93.0
2024,6,2024-06,2170,620309.5239631337,595000.0,250000.0,1588000.0,6578.7487235023045,6111.905,95.30046082949309,93.0
2024,7,2024-07,3036,616816.8721607379,595000.0,245000.0,1568000.0,6577.448007246377,6142.08,94.83962450592885,93.0
2024,8,2024-08,2588,621374.2843508502,600000.0,250000.0,1480000.0,6547.114335394126,6129.03,95.87364760432767,93.0
2024,9,2024-09,2203,629331.8515660462,610000.0,265000.0,1580000.0,6680.290640036314,6267.33,95.33604176123467,93.0
2024,10,2024-10,2138,629575.0527970066,615000.0,258000.0,1540000.0,6685.949756782039,6294.6900000000005,95.04625818521983,93.0
2024,11,2024-11,1928,635602.1410165976,615000.0,247000.0,1550000.0,6685.981493775934,6275.51,96.21690871369296,93.0
2024,12,2024-12,2110,638432.4545023696,615000.0,265000.0,1539000.0,6800.484696682465,6364.355,94.92227488151659,93.0
2025,1,2025-01,2312,636405.3350346021,612444.0,250000.0,1600000.0,6802.1026297577855,6369.86,94.70826124567473,93.0
2025,2,2025-02,2091,644773.9535533239,620000.0,260000.0,1558000.0,6914.2759875657575,6451.61,94.45380200860832,93.0
2025,3,2025-03,1898,645446.4051633298,625000.0,270000.0,1518000.0,6929.978076923077,6477.88,94.16828240252897,93.0
2025,4,2025-04,2294,652331.0256669574,630000.0,270000.0,1490000.0,6981.053204010463,6576.425,94.48260680034873,93.0
2025,5,2025-05,2264,658141.8908480565,635000.0,270000.0,1568380.0,6973.685123674912,6563.605,95.21687279151944,93.0
2025,6,2025-06,2259,653229.8021204072,632800.0,272000.0,1658888.0,6978.96139442231,6492.54,94.91102257636122,93.0
2025,7,2025-07,2562,656411.4082747853,628000.0,295000.0,1588000.0,6955.891826697892,6526.795,95.58372365339578,93.0
2025,8,2025-08,2203,651048.2391103042,622000.0,270000.0,1600000.0,6965.745510667271,6507.94,94.50817067635043,93.0
2025,9,2025-09,2172,672288.1735174954,645000.0,275000.0,1590000.0,7029.691924493554,6537.47,96.66708103130755,93.0
2025,10,2025-10,1338,646664.0365321375,620000.0,258888.0,1550000.0,6964.030687593424,6533.325000000001,93.83415545590434,93.0
