subzone,zone_id,trx_volume,mean_price,median_price,lat,lon,mean_pps,median_pps,avg_to_city,avg_to_mrt
SENGKANG,152,19357,534930.2719238519,525000.0,1.391098223894805,103.8922786012554,5476.005061734773,5309.73,12741.822293359019,264.8867423162022
PUNGGOL,146,17306,551031.906935167,535000.0,1.402282727518696,103.9065693056791,5850.93450421819,5736.84,14492.212161109519,241.69498728658985
WOODLANDS,166,17049,487919.2442512758,470000.0,1.438482922514372,103.7940135124858,4667.777626840284,4628.1,18449.443070918598,561.9387290710401
TAMPINES,159,16583,574047.0750093469,550000.0,1.354000404258416,103.9469115526444,5597.336045950672,5373.83,13049.786864927552,589.1471513659262
YISHUN,167,16248,456927.0348818316,435000.0,1.426568765580128,103.8398348942083,4987.081267848351,4910.71,15879.052379170698,859.4921978430997
JURONG WEST,130,15684,468154.9152811783,462000.0,1.343957088260439,103.7060066571617,4672.587775439939,4590.91,17261.35698713856,813.3934957165185
BEDOK,114,12481,490117.7001842801,435000.0,1.330144803905619,103.9289605617676,5427.303149587373,5163.04,9955.079705190774,566.537853250425
HOUGANG,128,12061,528766.5182422685,500000.0,1.37403985056587,103.888435143938,5358.48846778874,5242.72,10629.599545728937,786.7394348249181
CHOA CHU KANG,124,10741,496142.3938450796,495000.0,1.380744150840157,103.7455898171501,4640.568546690253,4709.09,16321.64971433786,508.9165702511473
BUKIT BATOK,117,10232,511434.6212382721,485000.0,1.351590869870436,103.7480113826474,5491.814289483972,5337.4,13798.275367324322,726.4843124049528
ANG MO KIO,113,9649,488205.4945092756,420000.0,1.370188606689467,103.8487697087492,5628.662378484818,5274.73,9671.948398479975,551.7075651815521
BUKIT MERAH,118,9111,646236.9912896499,661888.0,1.281522804200035,103.8226853884375,7337.267672044782,6982.76,3418.8004020107805,527.5607597216152
BUKIT PANJANG,119,8498,508809.7564932926,488000.0,1.384528397496085,103.7682751204317,5018.7473734996465,4924.25,14481.469039640113,273.26253778152767
TOA PAYOH,162,7869,585199.8036040158,512000.0,1.336264136710638,103.8517143287544,6590.629196848392,5791.04,5919.375614048151,537.2455610017578
SEMBAWANG,151,7296,507757.18364583334,505000.0,1.450036033395585,103.8194491835678,5355.863311403508,5289.26,18727.522089972827,543.3876838016395
PASIR RIS,143,6877,597576.7513276138,580000.0,1.371626181905435,103.9511372847091,5032.682306238185,4904.76,14746.46174323662,991.0424754602565
QUEENSTOWN,147,6492,652971.1110043131,680000.0,1.303787443936998,103.7990885832038,7757.153464263709,7554.955,6270.354616449649,453.1628642313646
GEYLANG,127,5927,514462.2405162814,460000.0,1.322994312148672,103.8875853515282,6079.754341150667,5652.17,6082.428473690547,363.4271644907872
KALLANG,131,5362,624017.1722790004,600000.0,1.318348572003728,103.8627179098152,7135.352459903022,6544.335,4020.935635863994,301.972852917443
CLEMENTI,125,5292,564460.7752305367,500000.0,1.313538861280012,103.766311863504,6461.284100529101,5785.895,10060.020663797763,642.8939279057978
JURONG EAST,129,4841,478300.4870894443,450000.0,1.339932705356895,103.7391561565111,4949.274821317908,4921.88,13820.017974901617,824.6637122882182
SERANGOON,153,4227,571915.4494629762,535000.0,1.356822499952762,103.8721382257547,5661.745713271825,5633.33,8821.341029123423,986.5074078390757
BISHAN,115,4162,718672.0590485344,700000.0,1.354876549826425,103.8471503386835,6667.320795290725,6422.125,7736.667554597247,598.2410992816267
NOVENA,140,1843,544024.4447965274,535000.0,1.326612097665613,103.8567322059891,6103.673499728704,5625.0,4701.173233662223,803.8338975462786
MARINE PARADE,136,1448,563885.3431491712,493500.0,1.303911930281048,103.9125305044702,6445.854150552485,6339.96,7145.547073592661,221.2994725575534
OUTRAM,142,1132,811270.5360070671,850500.0,1.277449093870789,103.8414857883682,9408.089549469963,9166.67,1261.8076289086757,266.3608803166074
ROCHOR,149,681,519190.8972099853,492000.0,1.305810760214638,103.8534663603071,6524.675271659324,6441.44,2387.0822038637048,190.6829357123574
BUKIT TIMAH,120,651,732539.3930568356,700000.0,1.337773027684864,103.7751307126253,6970.8061597542255,6704.92,9075.76933157153,320.26993114156284
DOWNTOWN CORE,126,52,681228.6153846154,682500.0,1.296794863571021,103.8539071855816,8381.495192307693,8323.17,1435.4849333093034,247.69054849807748
CHANGI,122,51,322071.98039215687,310000.0,1.38885339963624,103.986845986484,4688.834901960784,4621.21,19065.452477991137,3511.320367413463
TANGLIN,160,37,713240.2162162162,620000.0,1.317319711956227,103.8080571790075,6875.531081081081,6842.11,6094.450399978392,60.37209014241211
SUNGEI KADUT,158,25,316035.52,310000.0,1.391525505347615,103.7572667410543,5068.5815999999995,5161.29,15896.130061263151,975.0915213995255
