year,type,applications_registered
2007,rental,5970
2007,resale,29612
2008,rental,3695
2008,resale,28551
2009,rental,2681
2009,resale,39320
2010,rental,2736
2010,resale,30061
2011,rental,4918
2011,resale,24331
2012,rental,4886
2012,resale,23579
2013,rental,4612
2013,resale,17552
2014,rental,4001
2014,resale,17673
2015,rental,4309
2015,resale,19620
2016,rental,4336
2016,resale,20894
2017,rental,4753
2017,resale,22005
2018,rental,4770
2018,resale,23476
2019,rental,6356
2019,resale,24772
2020,rental,9184
2020,resale,26436
2021,rental,9780
2021,resale,30370
2022,rental,5996
2022,resale,27941
2023,rental,7445
2023,resale,26824
2024,rental,8416
2024,resale,28508
