trx_quarter,town,flat_type,median_resale_price
2007Q2,ANG MO KIO,1 ROOM,
2007Q2,ANG MO KIO,2 ROOM,
2007Q2,ANG MO KIO,3 ROOM,172000.0
2007Q2,ANG MO KIO,4 ROOM,260000.0
2007Q2,ANG MO KIO,5 ROOM,372000.0
2007Q2,ANG MO KIO,EXECUTIVE,
2007Q2,BEDOK,1 ROOM,
2007Q2,BEDOK,2 ROOM,
2007Q2,BEDOK,3 ROOM,172000.0
2007Q2,BEDOK,4 ROOM,224500.0
2007Q2,BEDOK,5 ROOM,332000.0
2007Q2,BEDOK,EXECUTIVE,420000.0
2007Q2,BISHAN,1 ROOM,
2007Q2,BISHAN,2 ROOM,
2007Q2,BISHAN,3 ROOM,205000.0
2007Q2,BISHAN,4 ROOM,311500.0
2007Q2,BISHAN,5 ROOM,400000.0
2007Q2,BISHAN,EXECUTIVE,475000.0
2007Q2,BUKIT BATOK,1 ROOM,
2007Q2,BUKIT BATOK,2 ROOM,
2007Q2,BUKIT BATOK,3 ROOM,160000.0
2007Q2,BUKIT BATOK,4 ROOM,234000.0
2007Q2,BUKIT BATOK,5 ROOM,358800.0
2007Q2,BUKIT BATOK,EXECUTIVE,370800.0
2007Q2,BUKIT MERAH,1 ROOM,
2007Q2,BUKIT MERAH,2 ROOM,
2007Q2,BUKIT MERAH,3 ROOM,200000.0
2007Q2,BUKIT MERAH,4 ROOM,371000.0
2007Q2,BUKIT MERAH,5 ROOM,474000.0
2007Q2,BUKIT MERAH,EXECUTIVE,
2007Q2,BUKIT PANJANG,1 ROOM,
2007Q2,BUKIT PANJANG,2 ROOM,
2007Q2,BUKIT PANJANG,3 ROOM,155500.0
2007Q2,BUKIT PANJANG,4 ROOM,220500.0
2007Q2,BUKIT PANJANG,5 ROOM,280000.0
2007Q2,BUKIT PANJANG,EXECUTIVE,344000.0
2007Q2,BUKIT TIMAH,1 ROOM,
2007Q2,BUKIT TIMAH,2 ROOM,
2007Q2,BUKIT TIMAH,3 ROOM,
2007Q2,BUKIT TIMAH,4 ROOM,
2007Q2,BUKIT TIMAH,5 ROOM,
2007Q2,BUKIT TIMAH,EXECUTIVE,
2007Q2,CENTRAL AREA,1 ROOM,
2007Q2,CENTRAL AREA,2 ROOM,
2007Q2,CENTRAL AREA,3 ROOM,246500.0
2007Q2,CENTRAL AREA,4 ROOM,341000.0
2007Q2,CENTRAL AREA,5 ROOM,436000.0
2007Q2,CENTRAL AREA,EXECUTIVE,
2007Q2,CHOA CHU KANG,1 ROOM,
2007Q2,CHOA CHU KANG,2 ROOM,
2007Q2,CHOA CHU KANG,3 ROOM,
2007Q2,CHOA CHU KANG,4 ROOM,232000.0
2007Q2,CHOA CHU KANG,5 ROOM,283800.0
2007Q2,CHOA CHU KANG,EXECUTIVE,349000.0
2007Q2,CLEMENTI,1 ROOM,
