trx_quarter,resale_price_index
1990Q1,24.3
1990Q2,24.4
1990Q3,25.0
1990Q4,24.7
1991Q1,24.9
1991Q2,25.5
1991Q3,25.2
1991Q4,25.1
1992Q1,25.8
1992Q2,27.4
1992Q3,28.0
1992Q4,28.6
1993Q1,30.2
1993Q2,39.6
1993Q3,47.7
1993Q4,49.0
1994Q1,50.4
1994Q2,51.7
1994Q3,54.6
1994Q4,54.8
1995Q1,57.3
1995Q2,63.9
1995Q3,67.7
1995Q4,73.7
1996Q1,80.5
1996Q2,90.9
1996Q3,96.4
1996Q4,99.0
1997Q1,98.6
1997Q2,97.5
1997Q3,93.6
1997Q4,88.0
1998Q1,81.7
1998Q2,78.3
1998Q3,74.9
1998Q4,72.3
1999Q1,71.2
1999Q2,72.2
1999Q3,78.1
1999Q4,79.8
2000Q1,80.3
2000Q2,79.3
2000Q3,77.6
2000Q4,75.8
2001Q1,73.2
2001Q2,72.1
2001Q3,70.6
2001Q4,69.6
2002Q1,69.1
2002Q2,69.2
2002Q3,69.9
2002Q4,69.9
2003Q1,71.0
2003Q2,72.5
2003Q3,74.3
2003Q4,75.1
2004Q1,75.3
2004Q2,76.2
2004Q3,76.3
2004Q4,77.1
2005Q1,77.2
2005Q2,73.5
2005Q3,73.2
2005Q4,73.5
2006Q1,73.6
2006Q2,74.3
2006Q3,74.2
2006Q4,74.9
2007Q1,75.8
2007Q2,78.1
2007Q3,83.2
2007Q4,88.0
2008Q1,91.3
2008Q2,95.4
2008Q3,99.4
2008Q4,100.8
2009Q1,100.0
2009Q2,101.4
2009Q3,105.0
2009Q4,109.0
2010Q1,112.1
2010Q2,116.6
2010Q3,121.3
2010Q4,124.4
2011Q1,126.4
2011Q2,130.4
2011Q3,135.4
2011Q4,137.7
2012Q1,138.5
2012Q2,140.3
2012Q3,143.1
2012Q4,146.7
2013Q1,148.6
2013Q2,149.4
2013Q3,148.1
2013Q4,145.8
2014Q1,143.5
2014Q2,141.5
2014Q3,139.1
2014Q4,137.0
2015Q1,135.6
2015Q2,135.0
2015Q3,134.6
2015Q4,134.8
2016Q1,134.7
2016Q2,134.7
2016Q3,134.7
2016Q4,134.6
2017Q1,133.9
2017Q2,133.7
2017Q3,132.8
2017Q4,132.6
2018Q1,131.6
2018Q2,131.7
2018Q3,131.6
2018Q4,131.4
2019Q1,131.0
2019Q2,130.8
2019Q3,130.9
2019Q4,131.5
2020Q1,131.5
2020Q2,131.9
2020Q3,133.9
2020Q4,138.1
2021Q1,142.2
2021Q2,146.4
2021Q3,150.6
2021Q4,155.7
2022Q1,159.5
2022Q2,163.9
2022Q3,168.1
2022Q4,171.9
2023Q1,173.6
2023Q2,176.2
2023Q3,178.5
2023Q4,180.4
2024Q1,183.7
2024Q2,187.9
2024Q3,192.9
2024Q4,197.9
2025Q1,201.0
2025Q2,202.9
2025Q3,203.7
2025Q4,203.6
2026Q1,203.4
2026Q2,202.8
